"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AAK1",0,-0.318341568175326,0.683,0.699,0
"ABCA7",0,-0.190079118985351,0.101,0.167,0
"ABCC1",0,-0.406857494085484,0.247,0.363,0
"ABHD12",0,-0.230422859094638,0.267,0.351,0
"ABHD14B",0,-0.271828666421656,0.323,0.415,0
"ABHD15-AS1",0,-0.308287000783019,0.345,0.414,0
"ABHD18",0,-0.222659169363099,0.198,0.279,0
"AC004448.2",0,-0.394136767703568,0.608,0.635,0
"AC004596.1",0,-0.163508369940202,0.097,0.168,0
"AC004687.1",0,-0.552017773869689,0.219,0.308,0
"AC004951.1",0,-0.111545411836016,0.028,0.085,0
"AC006064.4",0,-0.398856154152627,0.596,0.653,0
"AC007098.1",0,-0.175958479958538,0.032,0.126,0
"AC007192.2",0,-0.192048159447632,0.134,0.205,0
"AC007780.1",0,-0.280531053276756,0.201,0.312,0
"AC008105.3",0,-0.363437407710948,0.152,0.246,0
"AC008443.1",0,-0.140680246625551,0.064,0.129,0
"AC008569.1",0,-0.191601452707462,0.084,0.163,0
"AC008735.2",0,-0.204598974829892,0.121,0.203,0
"AC009093.2",0,-0.224545028692193,0.059,0.136,0
"AC009133.1",0,-0.362472915494366,0.529,0.532,0
"AC010519.1",0,-0.185504979894391,0.064,0.139,0
"AC010609.1",0,-0.158902979331824,0.052,0.115,0
"AC010894.3",0,-0.410534845139321,0.549,0.653,0
"AC011446.1",0,-0.452577129476498,0.37,0.389,0
"AC011468.3",0,-0.360812888887613,0.178,0.355,0
"AC011511.2",0,-0.118399961620825,0.051,0.115,0
"AC011603.2",0,-0.341506167352764,0.511,0.611,0
"AC015849.1",0,-0.380771323901255,0.265,0.413,0
"AC016831.7",0,-0.543919548359505,0.23,0.377,0
"AC017050.1",0,-0.14856356282414,0.059,0.139,0
"AC023509.6",0,-0.171411110562366,0.068,0.136,0
"AC025283.2",0,-0.18001908829606,0.085,0.162,0
"AC027644.3",0,-0.226692849181281,0.098,0.173,0
"AC034102.4",0,-0.174803579915234,0.173,0.258,0
"AC060765.2",0,-0.18479740626763,0.124,0.214,0
"AC064843.1",0,0.110101677196237,0.045,0.004,0
"AC068724.3",0,-0.416467913592315,0.547,0.648,0
"AC068888.1",0,-0.267740337148273,0.339,0.424,0
"AC074032.1",0,-0.17339953262499,0.083,0.158,0
"AC079793.1",0,-0.349728542877682,0.146,0.244,0
"AC079949.3",0,-0.170184809909427,0.042,0.138,0
"AC080132.1",0,-0.180337827739476,0.065,0.172,0
"AC090771.2",0,-0.135726184662678,0.06,0.142,0
"AC092069.1",0,-0.23002293207253,0.633,0.555,0
"AC092821.3",0,-0.201543536705629,0.2,0.279,0
"AC093423.2",0,-0.161569845828208,0.063,0.131,0
"AC093503.2",0,-0.883396776329497,0.729,0.749,0
"AC099560.1",0,-0.217101659332989,0.117,0.243,0
"AC104389.5",0,-0.130912872442664,0.066,0.141,0
"AC105052.4",0,-0.094578956214107,0.029,0.079,0
"AC105402.3",0,0.478080740027369,0.146,0.049,0
"AC109460.2",0,-0.12519788870189,0.057,0.12,0
"AC116348.3",0,-0.246518002785299,0.093,0.199,0
"AC117481.1",0,-0.188282191376749,0.11,0.204,0
"AC130324.2",0,-0.167000311657825,0.047,0.107,0
"AC133550.2",0,-0.177515352758315,0.094,0.189,0
"AC135178.4",0,-0.215413084700945,0.192,0.298,0
"AC138123.1",0,-0.216335602058904,0.386,0.436,0
"AC245140.2",0,-0.120205516848886,0.078,0.151,0
"AC246785.3",0,-0.120653418349919,0.056,0.112,0
"ACADVL",0,-0.479812750634698,0.437,0.534,0
"ACAP1",0,-0.327655823178624,0.493,0.573,0
"ACOT2",0,-0.130219048840774,0.083,0.155,0
"ACSF3",0,-0.202245361116249,0.204,0.269,0
"ACTN4",0,-0.706671137273544,0.876,0.839,0
"ACTR1A",0,-0.231794350838775,0.445,0.487,0
"ACTR1B",0,-0.392340577050769,0.3,0.392,0
"ADA",0,-0.253739207101595,0.435,0.483,0
"ADA2",0,-0.304431561968891,0.278,0.36,0
"ADAD1",0,-0.070244327564225,0.001,0.05,0
"ADAMTSL4-AS1",0,-0.107075828642135,0.027,0.077,0
"ADD1",0,-0.312737180081533,0.539,0.576,0
"ADGRE5",0,-0.433260087830653,0.524,0.598,0
"ADGRL3-AS1",0,-0.147496587747105,0.148,0.227,0
"AFF3",0,-0.191186216462121,0.042,0.113,0
"AIP",0,-0.559770463032368,0.725,0.746,0
"AK1",0,-0.142260965775443,0.047,0.102,0
"AKAP13",0,-0.35921345661834,0.699,0.705,0
"AKAP8L",0,-0.323423587538532,0.315,0.395,0
"AKNA",0,-0.496088709299553,0.579,0.665,0
"AKR1A1",0,-0.303979673323879,0.52,0.546,0
"AL021707.1",0,-0.30848136713207,0.116,0.223,0
"AL022311.1",0,-0.14343066473544,0.089,0.169,0
"AL117381.1",0,-0.171132303130885,0.045,0.113,0
"AL133415.1",0,-0.245975697697609,0.321,0.429,0
"AL133453.1",0,-0.118243997472256,0.639,0.568,0
"AL136018.1",0,-0.129984388362751,0.059,0.125,0
"AL136454.1",0,-0.44619975680389,0.236,0.429,0
"AL137856.1",0,-0.198611328096699,0.083,0.163,0
"AL138686.1",0,-0.185136056634599,0.109,0.2,0
"AL157388.1",0,-0.683052152223274,0.509,0.537,0
"AL355388.3",0,-0.154802390281279,0.126,0.212,0
"AL360091.3",0,-0.127826588539479,0.057,0.13,0
"AL445433.2",0,-0.135921731161481,0.051,0.131,0
"AL592295.4",0,-0.138265771944903,0.048,0.13,0
"AL606489.1",0,-0.280685607530263,0.288,0.352,0
"AL627171.2",0,-0.680059890236685,0.268,0.416,0
"AL662797.1",0,-0.27483465259024,0.258,0.394,0
"ALDOA",0,-0.182056141034594,0.146,0.229,0
"ALKBH7",0,-0.275040862173697,0.479,0.521,0
"AMBRA1",0,-0.865890818938897,0.63,0.809,0
"ANAPC11",0,-0.422242563814393,0.683,0.68,0
"ANAPC16",0,-0.391736082058485,0.682,0.71,0
"ANAPC7",0,-0.238111164720943,0.279,0.345,0
"ANK3",0,-0.298779226259804,0.106,0.189,0
"ANKRD11",0,-0.357019590824506,0.637,0.615,0
"ANKRD13D",0,-0.257869096028509,0.213,0.295,0
"ANKRD23",0,-0.228706550156684,0.211,0.282,0
"ANKRD30BL",0,-0.798362082722196,0.184,0.492,0
"ANKUB1",0,-0.221583360238876,0.095,0.191,0
"ANXA1",0,-0.460917770049417,0.624,0.637,0
"ANXA11",0,-0.343514144978787,0.759,0.776,0
"ANXA2",0,0.0123518522446777,0.863,0.769,0
"ANXA5",0,-0.0205513378963265,0.706,0.61,0
"ANXA6",0,-0.393184064533758,0.853,0.845,0
"AP000426.1",0,-0.207777058858579,0.089,0.14,0
"AP001011.1",0,-0.348137812319563,0.132,0.245,0
"AP001107.1",0,-0.123184239955119,0.086,0.16,0
"AP006565.1",0,-0.360751138393249,0.38,0.484,0
"AP006621.3",0,-0.156448241483158,0.084,0.152,0
"AP1M1",0,-0.335363578193634,0.454,0.523,0
"AP2A1",0,-0.244057153963436,0.357,0.409,0
"AP2M1",0,-0.394640982009874,0.702,0.712,0
"AP2S1",0,-0.211185019200434,0.721,0.693,0
"APBA3",0,-0.220510082032433,0.154,0.233,0
"APOBEC3G",0,-0.337370995787684,0.583,0.601,0
"APOL3",0,-0.462527436471976,0.522,0.594,0
"APOO",0,-0.252340610595798,0.378,0.451,0
"APRT",0,-0.293953975649474,0.713,0.704,0
"ARAP1",0,-0.201328488667812,0.176,0.267,0
"ARF5",0,-0.175018337263952,0.803,0.752,0
"ARFGAP1",0,-0.22025924100954,0.196,0.26,0
"ARFGAP2",0,-0.212220717162488,0.282,0.347,0
"ARHGAP25",0,-0.332030090300083,0.564,0.597,0
"ARHGAP35",0,-0.258778790134109,0.291,0.353,0
"ARHGAP4",0,-0.351311281487308,0.445,0.524,0
"ARHGAP45",0,-0.311954762794168,0.615,0.668,0
"ARHGEF1",0,-0.448289857958803,0.605,0.691,0
"ARHGEF18",0,-0.378788783392669,0.343,0.432,0
"ARID1B",0,-0.349076439653263,0.317,0.426,0
"ARID5A",0,-0.356638132105474,0.224,0.319,0
"ARL6IP1",0,-0.137759005702395,0.84,0.754,0
"ARL6IP4",0,-0.525135563125636,0.86,0.846,0
"ARL6IP5",0,-0.192668473610587,0.851,0.771,0
"ARMC9",0,-0.329720972948663,0.695,0.698,0
"ARMH1",0,-0.22200954269916,0.055,0.114,0
"ARMH4",0,-0.248204322984706,0.199,0.296,0
"ARPC1B",0,-0.296608335169329,0.924,0.893,0
"ARPC3",0,-0.169428024718557,0.911,0.852,0
"ARPC4",0,-0.348643610980035,0.813,0.808,0
"ARRB1",0,-0.193533372353056,0.134,0.202,0
"ARRDC2",0,-0.221378381944351,0.187,0.266,0
"ASB2",0,-0.707278898204941,0.542,0.617,0
"ASH1L",0,-0.342298421869927,0.286,0.379,0
"ASMTL",0,-0.271829056889947,0.262,0.352,0
"ASTN2",0,-0.155760266669673,0.091,0.183,0
"ATF6B",0,-0.186470241788746,0.212,0.285,0
"ATG10",0,-0.236791765546643,0.355,0.447,0
"ATG2A",0,-0.189475385987513,0.176,0.233,0
"ATG4B",0,-0.218388764266892,0.278,0.352,0
"ATG7",0,-0.293142404470686,0.167,0.271,0
"ATM",0,-0.356040145603833,0.42,0.491,0
"ATP10A",0,-0.245253662024731,0.136,0.213,0
"ATP2A3",0,-0.303174959739655,0.677,0.668,0
"ATP5F1C",0,-0.284732762259092,0.612,0.629,0
"ATP5F1D",0,-0.219769255395181,0.797,0.762,0
"ATP5F1E",0,-0.234715750709653,0.962,0.925,0
"ATP5MC2",0,-0.295806854544194,0.904,0.865,0
"ATP5MF",0,-0.335427933524902,0.866,0.825,0
"ATP5MG",0,-0.175815176504382,0.939,0.891,0
"ATP5MGL",0,-0.242101128313302,0.179,0.3,0
"ATP5PO",0,-0.212862718617741,0.815,0.771,0
"ATP6V1F",0,-0.28040713680525,0.772,0.736,0
"ATP6V1G1",0,-0.18307068133587,0.804,0.749,0
"ATP8B1",0,-0.170699959197435,0.056,0.119,0
"ATXN1",0,-0.571676169685975,0.513,0.599,0
"ATXN2L",0,-0.293996494899948,0.388,0.469,0
"AURKAIP1",0,-0.284037873794651,0.77,0.737,0
"B3GALT4",0,-0.194165849610936,0.186,0.245,0
"BAD",0,-0.2382428948619,0.369,0.413,0
"BAG6",0,-0.330177195259559,0.489,0.529,0
"BAIAP2L1",0,-0.111986248210903,0.051,0.117,0
"BAX",0,-0.278341992849964,0.611,0.613,0
"BCAS3",0,-0.322866780891023,0.217,0.345,0
"BCAS4",0,-0.214060486957847,0.173,0.263,0
"BCKDHA",0,-0.192046663029772,0.204,0.272,0
"BCL11B",0,-0.313736398060422,0.728,0.709,0
"BCL2L1",0,-0.291417147168376,0.235,0.322,0
"BDNF-AS",0,-0.106537188186428,0.049,0.114,0
"BHLHE40",0,-0.371884353657601,0.289,0.379,0
"BICDL1",0,-0.211121298084657,0.138,0.218,0
"BICRAL",0,-0.259058432946894,0.194,0.28,0
"BIN1",0,-0.320191558522653,0.607,0.624,0
"BIRC5",0,-0.129988057021704,0.536,0.476,0
"BLOC1S1",0,-0.348323824595637,0.769,0.744,0
"BMERB1",0,-0.171018936587748,0.134,0.206,0
"BOLA2",0,0.0097881305235118,0.352,0.269,0
"BRF1",0,-0.200093182326415,0.166,0.234,0
"BRI3",0,-0.0217992514078332,0.494,0.413,0
"BRK1",0,-0.19586372506262,0.769,0.728,0
"BRPF1",0,-0.224119312535967,0.227,0.283,0
"BSG",0,-0.428616939479483,0.727,0.715,0
"BTBD11",0,-0.30155799018804,0.106,0.196,0
"BTBD6",0,-0.263423469368358,0.285,0.312,0
"BTF3",0,-0.191768198192452,0.918,0.861,0
"BTN3A2",0,-0.3085038459917,0.498,0.548,0
"BUD23",0,-0.26735193984396,0.419,0.471,0
"BUD31",0,-0.500719011830314,0.633,0.67,0
"C12orf10",0,-0.247440228669916,0.343,0.396,0
"C12orf57",0,-0.565241840592875,0.661,0.699,0
"C17orf49",0,-0.338056187888187,0.768,0.733,0
"C19orf53",0,-0.351819695599601,0.787,0.765,0
"C21orf58",0,-0.27638649886309,0.21,0.267,0
"C22orf34",0,-0.284080401759054,0.145,0.248,0
"C2orf42",0,-0.210957078470673,0.147,0.231,0
"C2orf88",0,-0.159927946444513,0.069,0.161,0
"C4orf3",0,-0.299362204018935,0.684,0.676,0
"C5orf34",0,-0.414735519988735,0.193,0.377,0
"C9orf16",0,-0.362762040392945,0.706,0.717,0
"CABIN1",0,-0.269678736202907,0.365,0.441,0
"CALM3",0,-0.407114362636885,0.863,0.842,0
"CAMK2G",0,-0.199734779913952,0.183,0.258,0
"CAMK4",0,-0.449891264406052,0.573,0.627,0
"CAMTA1",0,-0.215972491257371,0.424,0.465,0
"CAND2",0,-0.217484024081915,0.296,0.395,0
"CAPZB",0,-0.224108059099928,0.905,0.88,0
"CARD11",0,-0.51491586221316,0.484,0.564,0
"CARD16",0,-0.204436133705482,0.596,0.581,0
"CARD8",0,-0.286539945926365,0.44,0.508,0
"CARHSP1",0,-0.24270594152471,0.673,0.656,0
"CASP4",0,-0.37936104038179,0.605,0.633,0
"CAST",0,0.20327919358122,0.778,0.664,0
"CASTOR3",0,-0.339467645410292,0.141,0.268,0
"CBFA2T2",0,-0.223864632975782,0.162,0.242,0
"CBLB",0,-0.390669746159045,0.275,0.389,0
"CCDC107",0,-0.224761911833403,0.483,0.496,0
"CCDC12",0,-0.266537343996595,0.525,0.563,0
"CCDC124",0,-0.300142801631246,0.549,0.554,0
"CCDC144NL-AS1",0,-0.331399688727065,0.376,0.434,0
"CCDC167",0,-0.245750439425775,0.604,0.576,0
"CCDC28B",0,-0.304724826595212,0.234,0.289,0
"CCDC57",0,-0.217459409704839,0.251,0.336,0
"CCDC85C",0,-0.130609229018918,0.075,0.142,0
"CCDC88B",0,-0.470496575460058,0.34,0.44,0
"CCDC88C",0,-0.360279170901325,0.459,0.549,0
"CCL17",0,-0.215709087434899,0.053,0.151,0
"CCL2",0,0.132086834393575,0.039,0,0
"CCL22",0,-0.764017026294081,0.125,0.376,0
"CCL5",0,-0.746097259782035,0.829,0.836,0
"CCM2",0,-0.516606760603128,0.73,0.768,0
"CCNB1",0,-0.247978444960335,0.48,0.428,0
"CCNB2",0,-0.185229949216099,0.513,0.453,0
"CCND3",0,-0.294824901336202,0.74,0.73,0
"CCT7",0,-0.361060348147483,0.674,0.69,0
"CD151",0,-0.253922449149637,0.285,0.317,0
"CD2",0,-0.141713210902591,0.887,0.829,0
"CD247",0,-0.476394305201072,0.776,0.796,0
"CD27",0,-0.433001851813233,0.317,0.414,0
"CD2BP2",0,-0.25058464026266,0.497,0.529,0
"CD37",0,-0.562294578339017,0.742,0.786,0
"CD3D",0,-0.331919771114642,0.92,0.862,0
"CD3E",0,-0.230118990110388,0.923,0.873,0
"CD3G",0,0.16620344927949,0.893,0.793,0
"CD4",0,-0.347190301926576,0.507,0.504,0
"CD44",0,-0.294803487157916,0.821,0.798,0
"CD48",0,-0.229400824580977,0.849,0.775,0
"CD52",0,-0.388299635544919,0.97,0.945,0
"CD53",0,-0.101664654773787,0.811,0.736,0
"CD6",0,-0.435285914944454,0.656,0.678,0
"CD7",0,-0.404005076680458,0.325,0.439,0
"CD74",0,-0.329340495463791,0.959,0.93,0
"CD79A",0,-0.162194197715875,0.046,0.114,0
"CD82",0,-0.734769218537402,0.524,0.641,0
"CD8A",0,-0.563344321748138,0.355,0.404,0
"CD96",0,-0.314212972633329,0.697,0.712,0
"CD99",0,-0.236451220380188,0.869,0.815,0
"CDC14A",0,-0.275712978003253,0.186,0.271,0
"CDC20",0,-0.229929521231496,0.506,0.456,0
"CDC42",0,-0.199854947261756,0.897,0.851,0
"CDC42SE2",0,-0.437084361063098,0.713,0.763,0
"CDK5RAP3",0,-0.288181971712045,0.297,0.366,0
"CDKN3",0,-0.134223922388258,0.532,0.455,0
"CDR2",0,-0.291366111919193,0.336,0.401,0
"CENPE",0,0.316956472088141,0.409,0.292,0
"CENPM",0,-0.29367587086085,0.522,0.492,0
"CENPN",0,-0.207808720516261,0.372,0.385,0
"CENPW",0,-0.0834525185593822,0.524,0.441,0
"CENPX",0,-0.312275357641641,0.494,0.485,0
"CEP250",0,-0.21584867919028,0.308,0.354,0
"CERK",0,-0.278823355147011,0.455,0.476,0
"CERS4",0,-0.317260163876563,0.128,0.242,0
"CFAP298",0,-0.314969214431997,0.553,0.543,0
"CFLAR",0,-0.382239855871022,0.55,0.604,0
"CFLAR-AS1",0,-0.125417821579235,0.038,0.094,0
"CHCHD1",0,-0.228436446888589,0.68,0.65,0
"CHCHD2",0,-0.167660305633601,0.915,0.86,0
"CHCHD3",0,-0.524577685152315,0.69,0.756,0
"CHCHD5",0,-0.243291256210348,0.43,0.474,0
"CHFR",0,-0.311126595974384,0.292,0.403,0
"CHKB",0,-0.268790032584781,0.193,0.29,0
"CHMP2A",0,-0.434446996629485,0.7,0.706,0
"CHMP4A",0,-0.329107147170898,0.682,0.686,0
"CIAO2B",0,-0.198896125649658,0.737,0.701,0
"CIRBP",0,-0.291999927071723,0.508,0.564,0
"CKS1B",0,-0.175823205747091,0.575,0.509,0
"CKS2",0,-0.180763335158623,0.617,0.548,0
"CLASRP",0,-0.193352420362202,0.107,0.191,0
"CLCN7",0,-0.173000695000588,0.146,0.213,0
"CLEC16A",0,-0.257801058360496,0.161,0.255,0
"CLIC1",0,-0.165418307021212,0.914,0.86,0
"CLK3",0,-0.255671444102708,0.373,0.433,0
"CLPP",0,-0.295994715227999,0.712,0.693,0
"CLSPN",0,0.249039829086976,0.541,0.41,0
"CMIP",0,-0.31074618964037,0.237,0.329,0
"CNPY3",0,-0.308964513068869,0.436,0.484,0
"CNTNAP2",0,-0.0680160401661123,0.018,0.061,0
"COG4",0,-0.215676900124358,0.179,0.268,0
"COL10A1",0,-0.068509736210243,0.004,0.04,0
"COMMD1",0,-0.277520685787587,0.428,0.494,0
"COMMD6",0,-0.274792069796712,0.78,0.756,0
"COMTD1",0,-0.279993276337666,0.362,0.404,0
"COPE",0,-0.463922744644239,0.751,0.757,0
"COPS6",0,-0.262932659398625,0.542,0.55,0
"CORO1A",0,-0.364048058780439,0.968,0.95,0
"CORO1B",0,-0.848173215363317,0.587,0.696,0
"CORO7",0,-0.270103724017336,0.367,0.427,0
"COX14",0,-0.286190563314918,0.626,0.633,0
"COX4I1",0,-0.308367131645251,0.918,0.877,0
"COX5B",0,-0.177308409362382,0.873,0.824,0
"COX6A1",0,-0.332355164946606,0.859,0.821,0
"COX6B1",0,-0.205684248616762,0.904,0.855,0
"COX6C",0,-0.338991941146518,0.892,0.846,0
"COX7A2",0,-0.274921230514613,0.893,0.844,0
"COX7B",0,-0.136805608550028,0.825,0.759,0
"COX7C",0,-0.328190963183927,0.928,0.879,0
"COX8A",0,-0.435246135014944,0.907,0.871,0
"CPB2-AS1",0,-0.568944245632987,0.589,0.716,0
"CPNE1",0,-0.305754812206008,0.573,0.634,0
"CRLF1",0,-0.302357975839522,0.342,0.461,0
"CRLF3",0,-0.33862100414967,0.398,0.482,0
"CRTC1",0,-0.145409296525479,0.064,0.129,0
"CSNK1D",0,-0.288730414525985,0.362,0.439,0
"CSNK1G2",0,-0.309932085044503,0.365,0.436,0
"CSNK2B",0,-0.173337211523736,0.786,0.734,0
"CST7",0,-0.231242573933435,0.491,0.462,0
"CSTB",0,0.141116158581051,0.848,0.751,0
"CTSC",0,-0.201709439117838,0.774,0.716,0
"CUEDC2",0,-0.266494554717929,0.556,0.565,0
"CUTA",0,-0.317159669488749,0.65,0.665,0
"CUX1",0,-0.385702310503356,0.212,0.319,0
"CXCL10",0,-0.148355621633119,0.013,0.06,0
"CXCL9",0,-0.0855609288666803,0.015,0.063,0
"CXCR3",0,-0.442682667583595,0.472,0.542,0
"CXCR6",0,-0.318564671018905,0.178,0.232,0
"CYB5R3",0,-0.324152631628504,0.452,0.493,0
"CYBA",0,-0.447017959572942,0.856,0.822,0
"CYBC1",0,-0.259770699614779,0.376,0.443,0
"CYFIP2",0,-0.308256355835645,0.696,0.721,0
"CYLD",0,-0.282212972314668,0.544,0.577,0
"CYTH1",0,-0.535340823507076,0.696,0.767,0
"CYTH4",0,-0.296087662265355,0.315,0.386,0
"CYTIP",0,-0.374599917749526,0.677,0.695,0
"CYTOR",0,-0.257072544711342,0.626,0.627,0
"DAD1",0,-0.26216631332161,0.785,0.743,0
"DAPK1",0,-0.387197677548357,0.189,0.385,0
"DAPK3",0,-0.183448138551352,0.165,0.235,0
"DCAF11",0,-0.2509381620914,0.31,0.391,0
"DCTN2",0,-0.383071431843851,0.552,0.603,0
"DCTN3",0,-0.452464550996797,0.719,0.712,0
"DDIT4",0,-0.315164933487211,0.273,0.311,0
"DDRGK1",0,-0.280590882092094,0.535,0.544,0
"DDT",0,-0.326593449354695,0.731,0.718,0
"DDX19B",0,-0.275712309181455,0.268,0.355,0
"DDX39A",0,-0.262058585480942,0.635,0.617,0
"DDX39B",0,-0.287895534497039,0.485,0.557,0
"DDX3Y",0,-0.0949948351419866,0,0.037,0
"DDX49",0,-0.220507240099775,0.301,0.359,0
"DDX5",0,-0.289652875585107,0.793,0.789,0
"DDX6",0,-0.286276872306704,0.594,0.625,0
"DEC1",0,-0.193377352322482,0.064,0.136,0
"DEF6",0,-0.269053553003981,0.546,0.58,0
"DGCR6L",0,-0.360395390392444,0.393,0.479,0
"DGKA",0,-0.378831895171803,0.429,0.532,0
"DGLUCY",0,-0.345919271347968,0.252,0.349,0
"DHPS",0,-0.271406412917308,0.351,0.413,0
"DHRS3",0,-0.31891826534011,0.153,0.244,0
"DHX38",0,-0.231763452931419,0.27,0.326,0
"DIP2B",0,-0.276047819031499,0.208,0.295,0
"DIPK1A",0,-0.262208939628291,0.36,0.463,0
"DLEU1",0,-0.380622819611752,0.216,0.313,0
"DLEU2",0,-0.534923184445432,0.397,0.496,0
"DLG2",0,-0.141651473488046,0.078,0.162,0
"DLGAP4-AS1",0,-0.21843645253703,0.113,0.181,0
"DNAH12",0,-0.0843625337871515,0.029,0.083,0
"DNAJC15",0,-0.243140037550436,0.593,0.573,0
"DNAJC5",0,-0.346277861445504,0.476,0.509,0
"DNASE1",0,-0.253999897254206,0.154,0.243,0
"DNM2",0,-0.502452689096827,0.561,0.63,0
"DNMT3A",0,-0.267675487762915,0.224,0.305,0
"DNPH1",0,-0.405805195425914,0.682,0.678,0
"DOCK10",0,-0.442111326059051,0.534,0.608,0
"DOCK2",0,-0.391748795877354,0.702,0.718,0
"DOCK9",0,-0.287942301290222,0.25,0.334,0
"DOK2",0,-0.234219128644932,0.644,0.625,0
"DPM3",0,-0.204150377491291,0.572,0.563,0
"DPP4",0,-0.354384467866769,0.491,0.561,0
"DPP7",0,-0.354736049110362,0.545,0.606,0
"DRAP1",0,-0.387291937294244,0.794,0.77,0
"DTYMK",0,-0.228160040617164,0.511,0.483,0
"DUS1L",0,-0.246995448392263,0.325,0.353,0
"DYNLL2",0,-0.229292121023816,0.639,0.614,0
"DYNLRB1",0,-0.217876982156427,0.688,0.676,0
"E2F1",0,-0.255453731239777,0.344,0.345,0
"EBI3",0,-0.249437429392185,0.033,0.082,0
"ECHDC2",0,-0.224371051530695,0.12,0.199,0
"EDF1",0,-0.543681043739206,0.875,0.857,0
"EEF1B2",0,-0.305104921629948,0.942,0.903,0
"EEF1D",0,-0.498032348713201,0.929,0.911,0
"EEF1G",0,-0.280612528255266,0.958,0.925,0
"EEF2",0,-0.412624426153573,0.973,0.953,0
"EFCAB3",0,-0.145851718352268,0.061,0.152,0
"EFHD2",0,-0.253366848420227,0.593,0.572,0
"EHBP1L1",0,-0.237812411091394,0.2,0.27,0
"EHD1",0,-0.307188377912999,0.477,0.545,0
"EHMT1",0,-0.375186354394963,0.33,0.43,0
"EID1",0,-0.305742509557946,0.827,0.79,0
"EIF1",0,-0.0226408434701306,0.943,0.881,0
"EIF1AY",0,-0.46847653585475,0,0.086,0
"EIF2B5",0,-0.274984549532111,0.332,0.377,0
"EIF2D",0,-0.220116598570658,0.291,0.378,0
"EIF3A",0,0.338912020353533,0.813,0.716,0
"EIF3D",0,-0.369853144923507,0.703,0.72,0
"EIF3E",0,-0.239691534154115,0.803,0.762,0
"EIF3F",0,-0.430746489225041,0.882,0.841,0
"EIF3G",0,-0.421466463317043,0.767,0.77,0
"EIF3H",0,-0.261078074684563,0.811,0.783,0
"EIF3K",0,-0.301180650939638,0.838,0.81,0
"EIF3L",0,-0.226880954430759,0.768,0.753,0
"EIF3M",0,-0.230684003947523,0.725,0.703,0
"EIF4E2",0,-0.21371754699871,0.604,0.598,0
"ELMOD3",0,-0.222609681888347,0.133,0.197,0
"ELOB",0,-0.492288955275499,0.904,0.863,0
"EMD",0,-0.246345905460526,0.322,0.394,0
"EML3",0,-0.196078271939082,0.222,0.288,0
"EML4",0,-0.282277601258738,0.637,0.63,0
"EMP3",0,-0.238563584580962,0.932,0.881,0
"ENOSF1",0,-0.236433948206762,0.256,0.318,0
"ENSA",0,-0.391180277500077,0.708,0.722,0
"EPB41",0,-0.495751354437889,0.605,0.669,0
"EPS15L1",0,-0.214316346447787,0.177,0.254,0
"ERGIC3",0,-0.279809988253389,0.574,0.609,0
"ERP29",0,-0.278297370356638,0.865,0.805,0
"ETFB",0,-0.417926492516285,0.786,0.77,0
"ETHE1",0,-0.226919075733347,0.563,0.587,0
"ETS1",0,-0.44284336925211,0.891,0.872,0
"EVL",0,-0.61152384546383,0.835,0.861,0
"EXOC7",0,-0.300033392937235,0.366,0.431,0
"FAAP20",0,-0.233067443114148,0.439,0.503,0
"FAM102A",0,-0.337693310599464,0.501,0.564,0
"FAM118A",0,-0.210501749704424,0.134,0.197,0
"FAM153CP",0,-0.626954655985044,0.42,0.601,0
"FAM172A",0,-0.471169986278664,0.421,0.567,0
"FAM207A",0,-0.256590241499651,0.307,0.371,0
"FAM222B",0,-0.260104866734271,0.205,0.284,0
"FAM50A",0,-0.15446689056809,0.443,0.428,0
"FANCA",0,-0.245669827814372,0.191,0.25,0
"FAU",0,-0.33811312181752,0.957,0.923,0
"FBH1",0,-0.243345572839589,0.288,0.36,0
"FBRS",0,-0.25881637849334,0.332,0.397,0
"FBXL15",0,-0.213431903273111,0.192,0.269,0
"FBXL20",0,-0.230545256209812,0.142,0.222,0
"FBXW5",0,-0.38496470585027,0.494,0.566,0
"FCMR",0,-0.388539440748961,0.436,0.496,0
"FDPS",0,-0.335996702228254,0.621,0.643,0
"FEN1",0,-0.104345540993868,0.511,0.448,0
"FGD3",0,-0.517427739433684,0.455,0.574,0
"FKBP11",0,-0.208938595341647,0.459,0.465,0
"FKBP2",0,-0.413555635258592,0.703,0.655,0
"FKBP8",0,-0.41038703127074,0.649,0.696,0
"FLII",0,-0.235211024775337,0.506,0.535,0
"FLOT1",0,-0.326229982165626,0.336,0.425,0
"FMNL1",0,-0.29876462070505,0.739,0.722,0
"FNBP1",0,-0.548340214008548,0.839,0.853,0
"FOXN3",0,-0.453004096564665,0.533,0.607,0
"FOXP1",0,-0.361087885041633,0.651,0.655,0
"FP671120.4",0,-0.242030274791096,0.082,0.197,0
"FP671120.7",0,-0.286273094143816,0.111,0.238,0
"FSCN1",0,-0.125066232088268,0.038,0.105,0
"FTX",0,-0.552132898832195,0.225,0.363,0
"FUT7",0,0.135888199107498,0.331,0.203,0
"FXYD5",0,-0.361413378973758,0.865,0.833,0
"FYN",0,-0.448693331405475,0.546,0.63,0
"GABARAP",0,-0.299080044811825,0.871,0.819,0
"GAK",0,-0.249354380668127,0.321,0.389,0
"GANAB",0,-0.241651654938612,0.442,0.482,0
"GAREM1",0,-0.140836509866838,0.116,0.187,0
