"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STT3A",3.90401407649262e-39,-0.0365150933581003,0.282,0.28,1.24229631928072e-34
"SEMA4A",4.05294075115858e-39,-0.0373681914596177,0.037,0.047,1.28968627642617e-34
"IFT57",4.07029704558987e-39,-0.0438782294047312,0.182,0.191,1.29520922287715e-34
"MFSD2A",4.15275773558742e-39,-0.0184931323451542,0.017,0.029,1.32144903904127e-34
"WDR24",4.34213284718971e-39,-0.0283557348528786,0.052,0.067,1.38171009330424e-34
"AL357079.1",4.35031751531634e-39,-0.019962105408812,0.009,0.017,1.38431453654881e-34
"TAF5",4.38320976204288e-39,0.0100392558512656,0.128,0.111,1.39478117837967e-34
"FAM83H",4.52248675212739e-39,-0.0197917683839297,0.024,0.031,1.43910050939446e-34
"ZNF256",4.5960453828793e-39,-0.0233400940131957,0.024,0.035,1.46250760128602e-34
"AL021707.2",4.6136148124491e-39,-0.0195727322295628,0.015,0.025,1.46809836946943e-34
"GDF1",4.67203837064761e-39,-0.0109862022457089,0.003,0.009,1.48668932992378e-34
"COL11A1",4.90254797033513e-39,-0.00529974391129063,0.001,0.004,1.56003978964034e-34
"PLN",5.11598085983756e-39,-0.0126148949109858,0.005,0.013,1.62795626940891e-34
"WDR4",5.21722981296375e-39,-0.0539076954085116,0.189,0.196,1.66017469878319e-34
"GRAMD1C",5.33972604391576e-39,-0.0151705242442114,0.011,0.022,1.69915422443443e-34
"DVL1",5.40099976600036e-39,-0.0279310158586828,0.063,0.073,1.71865213553897e-34
"EZR-AS1",5.43535623589037e-39,-0.0172077487638445,0.013,0.023,1.72958470782267e-34
"PLPP7",5.51769619251215e-39,-0.0085448027484276,0.003,0.008,1.75578610541929e-34
"KYNU",5.54732917659035e-39,-0.0129335084417669,0.008,0.016,1.76521561728282e-34
"AC124947.1",5.82947426769636e-39,-0.00780417684662419,0.002,0.007,1.85499700672366e-34
"KLF3-AS1",6.03767687142303e-39,-0.0160020291338347,0.008,0.016,1.92124915725552e-34
"KCTD19",6.13201632372741e-39,-0.0105017295173403,0.004,0.01,1.9512689143733e-34
"DNAI2",6.45283572519703e-39,-0.032111423239452,0.026,0.038,2.05335685611495e-34
"WDR66",6.48318435988154e-39,-0.0130817366265905,0.007,0.015,2.0630140951579e-34
"AC073254.1",7.1879960516056e-39,-0.0183017321643034,0.016,0.026,2.28729222358142e-34
"ICA1",7.1887730325289e-39,-0.0313526822982235,0.046,0.057,2.28753946668102e-34
"NEGR1",7.41440039285624e-39,-0.0307879115788271,0.059,0.078,2.35933634901078e-34
"WASL",7.42246757908936e-39,-0.0310227853995129,0.065,0.075,2.36190340834202e-34
"GRK4",7.49425923243357e-39,-0.0310812143632164,0.043,0.059,2.38474823035269e-34
"DCP1B",7.49467123776468e-39,-0.0387152047774054,0.108,0.122,2.3848793345691e-34
"Z99127.1",7.51970738393222e-39,-0.0142756264803219,0.006,0.013,2.39284608664107e-34
"AC084816.1",7.65130404618752e-39,-0.00787808155743552,0.002,0.008,2.43472146053733e-34
"EFEMP2",7.87856096720806e-39,-0.012430622701133,0.004,0.009,2.50703688537528e-34
"GNG10",8.08433846057596e-39,-0.0654076435250082,0.382,0.389,2.57251734153988e-34
"ITGA2",8.3336062737473e-39,-0.0391285231959852,0.11,0.113,2.65183685236913e-34
"IGHV5-51",8.74741078122354e-39,-0.00449872993168212,0.001,0.004,2.78351358469314e-34
